# [reference standard]
# imdb2009
# actors of X-Men
([(41419995, 1949082, 44311720)], [(44311720, 1949082), (41419995, 1949082)]) #Smith, Ashley Joelle in X-Men Origins: Wolverine
([(41223504, 21052417, 44237809)], [(44237809, 21052417), (41223504, 21052417)]) #Davies, Gloria in X-Men: The Last Stand
([(41223262, 21061373, 44237809)], [(44237809, 21061373), (41223262, 21061373)]) #De Groot, Ric in X-Men: The Last Stand
([(41232288, 21120572, 44237809)], [(44237809, 21120572), (41232288, 21120572)]) #Ducocq, Alexandra in X-Men: The Last Stand
([(39182159, 21152459, 44237809)], [(44237809, 21152459), (39182159, 21152459)]) #Emms, Wesley in X-Men: The Last Stand
([(41240225, 21171644, 44237809)], [(44237809, 21171644), (41240225, 21171644)]) #Faria, Genevieve in X-Men: The Last Stand
([(41252109, 897582, 44237809)], [(44237809, 897582), (41252109, 897582)]) #Fulton, Warren Dean in X-Men: The Last Stand
([(41259042, 937922, 44237809)], [(44237809, 937922), (41259042, 937922)]) #Gilbert, Dave in X-Men: The Last Stand
([(41258180, 944094, 44237809)], [(44237809, 944094), (41258180, 944094)]) #Giordano, Paul in X-Men: The Last Stand
([(41259890, 952253, 44237809)], [(44237809, 952253), (41259890, 952253)]) #Gogishvilli, Nina in X-Men: The Last Stand
([(41265598, 994746, 44237809)], [(44237809, 994746), (41265598, 994746)]) #Groff, Kevin in X-Men: The Last Stand
([(40691369, 1017103, 44237809)], [(44237809, 1017103), (40691369, 1017103)]) #Hakim, David in X-Men: The Last Stand
([(40287847, 1265694, 44237809)], [(44237809, 1265694), (40287847, 1265694)]) #Kress, Nancy in X-Men: The Last Stand
([(40287847, 1265695, 44237809)], [(44237809, 1265695), (40287847, 1265695)]) #Kress, Nancy in X-Men: The Last Stand
([(41331336, 1396120, 44237809)], [(44237809, 1396120), (41331336, 1396120)]) #Malkin, Harvey in X-Men: The Last Stand
([(41352750, 1531445, 44237809)], [(44237809, 1531445), (41352750, 1531445)]) #Moreno, Doug in X-Men: The Last Stand
([(41375845, 1673815, 44237809)], [(44237809, 1673815), (41375845, 1673815)]) #Pere, Peggy in X-Men: The Last Stand
([(41378108, 1684616, 44237809)], [(44237809, 1684616), (41378108, 1684616)]) #Petrossie, Joe in X-Men: The Last Stand
([(41378108, 1684617, 44237809)], [(44237809, 1684617), (41378108, 1684617)]) #Petrossie, Joe in X-Men: The Last Stand
([(40767486, 1722916, 44237809)], [(44237809, 1722916), (40767486, 1722916)]) #Price, Amelia in X-Men: The Last Stand
([(41412874, 1898964, 44237809)], [(44237809, 1898964), (41412874, 1898964)]) #Sepulveda, Claudio in X-Men: The Last Stand
([(39807781, 1959251, 44237809)], [(44237809, 1959251), (39807781, 1959251)]) #Snow, Robert R. in X-Men: The Last Stand
([(39809716, 1961963, 44237809)], [(44237809, 1961963), (39809716, 1961963)]) #Soldinger, David in X-Men: The Last Stand
([(40795646, 1991783, 44237809)], [(44237809, 1991783), (40795646, 1991783)]) #Stephenson, Amie in X-Men: The Last Stand
([(41050688, 2058634, 44237809)], [(44237809, 2058634), (41050688, 2058634)]) #Thomas, John Ashton in X-Men: The Last Stand
([(38930604, 2625935, 44237809)], [(44237809, 2625935), (38930604, 2625935)]) #Aneke, Emy in X-Men: The Last Stand
([(38943406, 2709819, 44237809)], [(44237809, 2709819), (38943406, 2709819)]) #Ashmore, Shawn in X-Men: The Last Stand
([(38943406, 2709820, 44237809)], [(44237809, 2709820), (38943406, 2709820)]) #Ashmore, Shawn in X-Men: The Last Stand
([(39019211, 3295431, 44237809)], [(44237809, 3295431), (39019211, 3295431)]) #Bright, Cameron in X-Men: The Last Stand
([(39019211, 3295432, 44237809)], [(44237809, 3295432), (39019211, 3295432)]) #Bright, Cameron in X-Men: The Last Stand
([(39030719, 3373821, 44237809)], [(44237809, 3373821), (39030719, 3373821)]) #Buday, Zoltan in X-Men: The Last Stand
([(39043561, 3473708, 44237809)], [(44237809, 3473708), (39043561, 3473708)]) #Callan, Justin in X-Men: The Last Stand
([(39097903, 3897034, 44237809)], [(44237809, 3897034), (39097903, 3897034)]) #Corbett, Denis in X-Men: The Last Stand
([(39164380, 4407175, 44237809)], [(44237809, 4407175), (39164380, 4407175)]) #Duchaine, Chris in X-Men: The Last Stand
([(39217199, 4797906, 44237809)], [(44237809, 4797906), (39217199, 4797906)]) #Fosh, Christopher in X-Men: The Last Stand
([(39328050, 5614196, 44237809)], [(44237809, 5614196), (39328050, 5614196)]) #Hodgson, Bryce in X-Men: The Last Stand
([(39354087, 5822788, 44237809)], [(44237809, 5822788), (39354087, 5822788)]) #Jackman, Hugh in X-Men: The Last Stand
([(39354087, 5822789, 44237809)], [(44237809, 5822789), (39354087, 5822789)]) #Jackman, Hugh in X-Men: The Last Stand
([(39457357, 6484938, 44237809)], [(44237809, 6484938), (39457357, 6484938)]) #Lee, Stan in X-Men: The Last Stand
([(39513569, 6890035, 44237809)], [(44237809, 6890035), (39513569, 6890035)]) #Marsden, James in X-Men: The Last Stand
([(39513569, 6890036, 44237809)], [(44237809, 6890036), (39513569, 6890036)]) #Marsden, James in X-Men: The Last Stand
([(39534935, 7077883, 44237809)], [(44237809, 7077883), (39534935, 7077883)]) #McKellen, Ian in X-Men: The Last Stand
([(39534935, 7077884, 44237809)], [(44237809, 7077884), (39534935, 7077884)]) #McKellen, Ian in X-Men: The Last Stand
([(39537609, 7102693, 44237809)], [(44237809, 7102693), (39537609, 7102693)]) #McPeake, Dan in X-Men: The Last Stand
([(39647674, 7896675, 44237809)], [(44237809, 7896675), (39647674, 7896675)]) #Pearl, Aaron in X-Men: The Last Stand
([(39683214, 8161708, 44237809)], [(44237809, 8161708), (39683214, 8161708)]) #Pyper-Ferguson, John in X-Men: The Last Stand
([(39803405, 9019140, 44237809)], [(44237809, 9019140), (39803405, 9019140)]) #Smith, David Colin in X-Men: The Last Stand
([(39830153, 9192344, 44237809)], [(44237809, 9192344), (39830153, 9192344)]) #Stewart, Patrick in X-Men: The Last Stand
([(40235399, 12083721, 44237809)], [(44237809, 12083721), (40235399, 12083721)]) #Horsdal, Chelah in X-Men: The Last Stand
([(40448877, 13584203, 44237809)], [(44237809, 13584203), (40448877, 13584203)]) #Ramirez, Dania in X-Men: The Last Stand
([(40480846, 13817655, 44237809)], [(44237809, 13817655), (40480846, 13817655)]) #Saleaumua, Via in X-Men: The Last Stand
([(39457357, 15691677, 44237809)], [(44237809, 15691677), (39457357, 15691677)]) #Lee, Stan in X-Men: The Last Stand
([(39952453, 16520250, 44237809)], [(44237809, 16520250), (39952453, 16520250)]) #Winter, Ralph in X-Men: The Last Stand
([(39698538, 19883369, 44237809)], [(44237809, 19883369), (39698538, 19883369)]) #Ratner, Brett in X-Men: The Last Stand
([(40998998, 20640538, 44237809)], [(44237809, 20640538), (40998998, 20640538)]) #Wong, Julia in X-Men: The Last Stand
([(41167507, 20700071, 44237809)], [(44237809, 20700071), (41167507, 20700071)]) #Araki, Charlie in X-Men: The Last Stand
([(38998193, 20806908, 44237809)], [(44237809, 20806908), (38998193, 20806908)]) #Blecker, Ron in X-Men: The Last Stand
([(40635768, 20831239, 44237809)], [(44237809, 20831239), (40635768, 20831239)]) #Bowick, Adam in X-Men: The Last Stand
([(41190462, 20838233, 44237809)], [(44237809, 20838233), (41190462, 20838233)]) #Brady, Morgan in X-Men: The Last Stand
([(41193038, 20855210, 44237809)], [(44237809, 20855210), (41193038, 20855210)]) #Bronswyk, Amanda in X-Men: The Last Stand
([(39024532, 20858188, 44237809)], [(44237809, 20858188), (39024532, 20858188)]) #Broussard, Stephen in X-Men: The Last Stand
([(41256101, 920231, 44237809)], [(44237809, 920231), (41256101, 920231)]) #Gauthier, Doug in X-Men: The Last Stand
([(41261142, 962364, 44237809)], [(44237809, 962364), (41261142, 962364)]) #Goobie, Ann in X-Men: The Last Stand
([(41261408, 965188, 44237809)], [(44237809, 965188), (41261408, 965188)]) #Goodwin, Marcus in X-Men: The Last Stand
([(41262238, 975375, 44237809)], [(44237809, 975375), (41262238, 975375)]) #Graham, Rob in X-Men: The Last Stand
([(41267410, 997537, 44237809)], [(44237809, 997537), (41267410, 997537)]) #Grover, Sissy in X-Men: The Last Stand
([(39282256, 1006142, 44237809)], [(44237809, 1006142), (39282256, 1006142)]) #Gursky, Brett in X-Men: The Last Stand
([(41272515, 1043620, 44237809)], [(44237809, 1043620), (41272515, 1043620)]) #Harris, Stacey in X-Men: The Last Stand
([(41292962, 1164905, 44237809)], [(44237809, 1164905), (41292962, 1164905)]) #Jensen, Mikael Jaeger in X-Men: The Last Stand
([(41303245, 1227578, 44237809)], [(44237809, 1227578), (41303245, 1227578)]) #Khan, Faria in X-Men: The Last Stand
([(41324589, 1348096, 44237809)], [(44237809, 1348096), (41324589, 1348096)]) #Liska, Kathy in X-Men: The Last Stand
([(41327212, 1371039, 44237809)], [(44237809, 1371039), (41327212, 1371039)]) #Lui, Spencer Hon in X-Men: The Last Stand
([(41346016, 1489250, 44237809)], [(44237809, 1489250), (41346016, 1489250)]) #Meslin, Christophe in X-Men: The Last Stand
([(39645844, 1658574, 44237809)], [(44237809, 1658574), (39645844, 1658574)]) #Pattillo, Duncan in X-Men: The Last Stand
([(39668147, 1703801, 44237809)], [(44237809, 1703801), (39668147, 1703801)]) #Platt, Jess in X-Men: The Last Stand
([(41395224, 1795921, 44237809)], [(44237809, 1795921), (41395224, 1795921)]) #Robertson, Darren in X-Men: The Last Stand
([(41395425, 1796432, 44237809)], [(44237809, 1796432), (41395425, 1796432)]) #Robertson, Lawra in X-Men: The Last Stand
([(41402383, 1841791, 44237809)], [(44237809, 1841791), (41402383, 1841791)]) #Sabelhaus, Bobby in X-Men: The Last Stand
([(41414096, 1909219, 44237809)], [(44237809, 1909219), (41414096, 1909219)]) #Shaw, Paisley in X-Men: The Last Stand
([(41418198, 1943962, 44237809)], [(44237809, 1943962), (41418198, 1943962)]) #Skrepnik, Alex in X-Men: The Last Stand
([(39823454, 1983170, 44237809)], [(44237809, 1983170), (39823454, 1983170)]) #Stark, Patrick in X-Men: The Last Stand
([(41427596, 1990479, 44237809)], [(44237809, 1990479), (41427596, 1990479)]) #Stenberg, Christopher K. in X-Men: The Last Stand
([(40536781, 2018942, 44237809)], [(44237809, 2018942), (40536781, 2018942)]) #Sutherland, Bonnie in X-Men: The Last Stand
([(41457378, 2184799, 44237809)], [(44237809, 2184799), (41457378, 2184799)]) #Western, Fleur in X-Men: The Last Stand
([(39968438, 2255087, 44237809)], [(44237809, 2255087), (39968438, 2255087)]) #Zajonc, Robert 'Bobby Z' in X-Men: The Last Stand
([(39907731, 2434019, 44237809)], [(44237809, 2434019), (39907731, 2434019)]) #Verreaux, Ed in X-Men: The Last Stand
([(38998193, 3116705, 44237809)], [(44237809, 3116705), (38998193, 3116705)]) #Blecker, Ron in X-Men: The Last Stand
([(39165493, 4418414, 44237809)], [(44237809, 4418414), (39165493, 4418414)]) #Duke, Bill in X-Men: The Last Stand
([(39247905, 5036974, 44237809)], [(44237809, 5036974), (39247905, 5036974)]) #Gibson, Lance in X-Men: The Last Stand
([(39463797, 6533894, 44237809)], [(44237809, 6533894), (39463797, 6533894)]) #Leung, Ken in X-Men: The Last Stand
([(39582801, 7443560, 44237809)], [(44237809, 7443560), (39582801, 7443560)]) #Murphy, Michael in X-Men: The Last Stand
([(39710869, 8364517, 44237809)], [(44237809, 8364517), (39710869, 8364517)]) #Richings, Julian in X-Men: The Last Stand
([(39822724, 9131347, 44237809)], [(44237809, 9131347), (39822724, 9131347)]) #Stanford, Aaron in X-Men: The Last Stand
([(39822724, 9131348, 44237809)], [(44237809, 9131348), (39822724, 9131348)]) #Stanford, Aaron in X-Men: The Last Stand
([(39824970, 9153100, 44237809)], [(44237809, 9153100), (39824970, 9153100)]) #Stef'Ano, Tony in X-Men: The Last Stand
([(40251447, 12184929, 44237809)], [(44237809, 12184929), (40251447, 12184929)]) #Janssen, Famke in X-Men: The Last Stand
([(40251447, 12184930, 44237809)], [(44237809, 12184930), (40251447, 12184930)]) #Janssen, Famke in X-Men: The Last Stand
([(40262131, 12262652, 44237809)], [(44237809, 12262652), (40262131, 12262652)]) #Kain, Shauna in X-Men: The Last Stand
([(40262131, 12262653, 44237809)], [(44237809, 12262653), (40262131, 12262653)]) #Kain, Shauna in X-Men: The Last Stand
([(40306213, 12552357, 44237809)], [(44237809, 12552357), (40306213, 12552357)]) #Lee, Mi-Jung in X-Men: The Last Stand
([(40359237, 12947930, 44237809)], [(44237809, 12947930), (40359237, 12947930)]) #Melançon, Mei in X-Men: The Last Stand
([(40410254, 13308899, 44237809)], [(44237809, 13308899), (40410254, 13308899)]) #Omahyra in X-Men: The Last Stand
([(40449153, 13585364, 44237809)], [(44237809, 13585364), (40449153, 13585364)]) #Ramm, Haley in X-Men: The Last Stand
([(40600708, 14668521, 44237809)], [(44237809, 14668521), (40600708, 14668521)]) #Wong, Kea in X-Men: The Last Stand
([(40600708, 14668522, 44237809)], [(44237809, 14668522), (40600708, 14668522)]) #Wong, Kea in X-Men: The Last Stand
([(40615031, 14739306, 44237809)], [(44237809, 14739306), (40615031, 14739306)]) #Zhang, Alexandra in X-Men: The Last Stand
([(39193672, 15240170, 44237809)], [(44237809, 15240170), (39193672, 15240170)]) #Fanger, Ross in X-Men: The Last Stand
([(39199235, 15247555, 44237809)], [(44237809, 15247555), (39199235, 15247555)]) #Feige, Kevin in X-Men: The Last Stand
([(40508137, 16241726, 44237809)], [(44237809, 16241726), (40508137, 16241726)]) #Shuler Donner, Lauren in X-Men: The Last Stand
([(39944604, 16510244, 44237809)], [(44237809, 16510244), (39944604, 16510244)]) #Williams, Kurt in X-Men: The Last Stand
([(39650791, 17609851, 44237809)], [(44237809, 17609851), (39650791, 17609851)]) #Penn, Zak in X-Men: The Last Stand
([(40555222, 19142034, 44237809)], [(44237809, 19142034), (40555222, 19142034)]) #Tomczeszyn, Lisa in X-Men: The Last Stand
([(39257205, 20311002, 44237809)], [(44237809, 20311002), (39257205, 20311002)]) #Goldblatt, Mark in X-Men: The Last Stand
([(39310463, 20337402, 44237809)], [(44237809, 20337402), (39310463, 20337402)]) #Helfrich, Mark in X-Men: The Last Stand
([(41161907, 20660141, 44237809)], [(44237809, 20660141), (41161907, 20660141)]) #Adams, R. Ben in X-Men: The Last Stand
([(40630619, 20769207, 44237809)], [(44237809, 20769207), (40630619, 20769207)]) #Bell, Ashley in X-Men: The Last Stand
([(41195059, 20865810, 44237809)], [(44237809, 20865810), (41195059, 20865810)]) #Bruce, Suzie in X-Men: The Last Stand
([(39030393, 20871001, 44237809)], [(44237809, 20871001), (39030393, 20871001)]) #Buck, Ron in X-Men: The Last Stand
([(40643880, 20897017, 44237809)], [(44237809, 20897017), (40643880, 20897017)]) #Calleri, Allison in X-Men: The Last Stand
([(41200389, 20902346, 44237809)], [(44237809, 20902346), (41200389, 20902346)]) #Campbell, Shawn in X-Men: The Last Stand
([(40648911, 20940171, 44237809)], [(44237809, 20940171), (40648911, 20940171)]) #Chang, Anita S. in X-Men: The Last Stand
([(41222200, 21047743, 44237809)], [(44237809, 21047743), (41222200, 21047743)]) #Darby, Teresa in X-Men: The Last Stand
([(39153711, 21102588, 44237809)], [(44237809, 21102588), (39153711, 21102588)]) #Doiron, Jeff in X-Men: The Last Stand
([(39208571, 21195894, 44237809)], [(44237809, 21195894), (39208571, 21195894)]) #Finnan, Sean in X-Men: The Last Stand
([(41249660, 880158, 44237809)], [(44237809, 880158), (41249660, 880158)]) #Francke, Ran in X-Men: The Last Stand
([(41277746, 1068252, 44237809)], [(44237809, 1068252), (41277746, 1068252)]) #Hendrickson, Michael in X-Men: The Last Stand
([(41283930, 1107248, 44237809)], [(44237809, 1107248), (41283930, 1107248)]) #Hood, Sarah in X-Men: The Last Stand
([(41282806, 1108422, 44237809)], [(44237809, 1108422), (41282806, 1108422)]) #Hopkins, Chris in X-Men: The Last Stand
([(41292566, 1165949, 44237809)], [(44237809, 1165949), (41292566, 1165949)]) #Jessen, Wendy in X-Men: The Last Stand
([(41306163, 1238921, 44237809)], [(44237809, 1238921), (41306163, 1238921)]) #Kirchhoff, Amanda in X-Men: The Last Stand
([(39409462, 1241956, 44237809)], [(44237809, 1241956), (39409462, 1241956)]) #Kitrosser, Martin in X-Men: The Last Stand
([(39444401, 1295623, 44237809)], [(44237809, 1295623), (39444401, 1295623)]) #Larioza, Nito in X-Men: The Last Stand
([(40725637, 1337268, 44237809)], [(44237809, 1337268), (40725637, 1337268)]) #Leydier, Kyle in X-Men: The Last Stand
([(39472412, 1346249, 44237809)], [(44237809, 1346249), (39472412, 1346249)]) #Linville, Brandon in X-Men: The Last Stand
([(41329788, 1386885, 44237809)], [(44237809, 1386885), (41329788, 1386885)]) #Maddeaux, Leona in X-Men: The Last Stand
([(41339970, 1448562, 44237809)], [(44237809, 1448562), (41339970, 1448562)]) #McCondach, Ryan in X-Men: The Last Stand
([(41342853, 1467395, 44237809)], [(44237809, 1467395), (41342853, 1467395)]) #McLaren, Ann in X-Men: The Last Stand
([(41344780, 1480450, 44237809)], [(44237809, 1480450), (41344780, 1480450)]) #Meisenbacher, Kenneth in X-Men: The Last Stand
([(41101139, 1528063, 44237809)], [(44237809, 1528063), (41101139, 1528063)]) #Morales, Hugo in X-Men: The Last Stand
([(41351910, 1535773, 44237809)], [(44237809, 1535773), (41351910, 1535773)]) #Morokhovich, Melina in X-Men: The Last Stand
([(39642583, 1655172, 44237809)], [(44237809, 1655172), (39642583, 1655172)]) #Pasternak, Harley in X-Men: The Last Stand
([(41379404, 1690317, 44237809)], [(44237809, 1690317), (41379404, 1690317)]) #Phillips, Mike in X-Men: The Last Stand
([(39713386, 1781676, 44237809)], [(44237809, 1781676), (39713386, 1781676)]) #Rickard, John in X-Men: The Last Stand
([(41398001, 1807885, 44237809)], [(44237809, 1807885), (41398001, 1807885)]) #Rogers, Robert in X-Men: The Last Stand
([(41423419, 1970680, 44237809)], [(44237809, 1970680), (41423419, 1970680)]) #Spearman, Corey in X-Men: The Last Stand
([(38906976, 2474484, 44237809)], [(44237809, 2474484), (38906976, 2474484)]) #Adams, Lloyd in X-Men: The Last Stand
([(39009842, 3222173, 44237809)], [(44237809, 3222173), (39009842, 3222173)]) #Boyd, Cayden in X-Men: The Last Stand
([(39080738, 3760473, 44237809)], [(44237809, 3760473), (39080738, 3760473)]) #Claremont, Chris in X-Men: The Last Stand
([(39111729, 4003875, 44237809)], [(44237809, 4003875), (39111729, 4003875)]) #Cudmore, Daniel in X-Men: The Last Stand
([(39111729, 4003876, 44237809)], [(44237809, 4003876), (39111729, 4003876)]) #Cudmore, Daniel in X-Men: The Last Stand
([(39118495, 4080099, 44237809)], [(44237809, 4080099), (39118495, 4080099)]) #Dane, Eric in X-Men: The Last Stand
([(39216533, 4799055, 44237809)], [(44237809, 4799055), (39216533, 4799055)]) #Foster, Ben in X-Men: The Last Stand
([(39216533, 4799056, 44237809)], [(44237809, 4799056), (39216533, 4799056)]) #Foster, Ben in X-Men: The Last Stand
([(39267619, 5179085, 44237809)], [(44237809, 5179085), (39267619, 5179085)]) #Grammer, Kelsey in X-Men: The Last Stand
([(39267619, 5179086, 44237809)], [(44237809, 5179086), (39267619, 5179086)]) #Grammer, Kelsey in X-Men: The Last Stand
([(39309988, 5479559, 44237809)], [(44237809, 5479559), (39309988, 5479559)]) #Heald, Anthony in X-Men: The Last Stand
([(39310463, 5500841, 44237809)], [(44237809, 5500841), (39310463, 5500841)]) #Helfrich, Mark in X-Men: The Last Stand
([(39395136, 6068307, 44237809)], [(44237809, 6068307), (39395136, 6068307)]) #Kawasaki, Peter in X-Men: The Last Stand
([(39408163, 6175706, 44237809)], [(44237809, 6175706), (39408163, 6175706)]) #King, Ryan in X-Men: The Last Stand
([(40267498, 12285513, 44237809)], [(44237809, 12285513), (40267498, 12285513)]) #Karter, Alexa in X-Men: The Last Stand
([(40397409, 13202056, 44237809)], [(44237809, 13202056), (40397409, 13202056)]) #Newbould, Tanya in X-Men: The Last Stand
([(40403302, 13265283, 44237809)], [(44237809, 13265283), (40403302, 13265283)]) #O'Brien, Brenna in X-Men: The Last Stand
([(40414208, 13345711, 44237809)], [(44237809, 13345711), (40414208, 13345711)]) #Page, Ellen in X-Men: The Last Stand
([(40416988, 13370478, 44237809)], [(44237809, 13370478), (40416988, 13370478)]) #Paquin, Anna in X-Men: The Last Stand
([(40416988, 13370479, 44237809)], [(44237809, 13370479), (40416988, 13370479)]) #Paquin, Anna in X-Men: The Last Stand
([(40615019, 14752729, 44237809)], [(44237809, 14752729), (40615019, 14752729)]) #Zurowski, Desiree in X-Men: The Last Stand
([(39224431, 15295861, 44237809)], [(44237809, 15295861), (39224431, 15295861)]) #Freitag, James M. in X-Men: The Last Stand
([(39262767, 15369362, 44237809)], [(44237809, 15369362), (39262767, 15369362)]) #Gorder, David in X-Men: The Last Stand
([(40759175, 15980300, 44237809)], [(44237809, 15980300), (40759175, 15980300)]) #Palermo, John in X-Men: The Last Stand
([(39816774, 18477239, 44237809)], [(44237809, 18477239), (39816774, 18477239)]) #Spinotti, Dante in X-Men: The Last Stand
([(39989283, 20674179, 44237809)], [(44237809, 20674179), (39989283, 20674179)]) #Alexandre, Barbara in X-Men: The Last Stand
([(39989283, 20674180, 44237809)], [(44237809, 20674180), (39989283, 20674180)]) #Alexandre, Barbara in X-Men: The Last Stand
([(41177107, 20749091, 44237809)], [(44237809, 20749091), (41177107, 20749091)]) #Barrie, Melissa F. in X-Men: The Last Stand
([(40054637, 20868928, 44237809)], [(44237809, 20868928), (40054637, 20868928)]) #Bryant, Dannyelle in X-Men: The Last Stand
([(41203082, 20915601, 44237809)], [(44237809, 20915601), (41203082, 20915601)]) #Carrigan, Simon in X-Men: The Last Stand
([(41084977, 20939119, 44237809)], [(44237809, 20939119), (41084977, 20939119)]) #Chan, Stephen in X-Men: The Last Stand
([(41229867, 21093580, 44237809)], [(44237809, 21093580), (41229867, 21093580)]) #Dignadice, Crystal in X-Men: The Last Stand
